CÓDIGO;REFERÊNCIA;DESCRIÇÃO;NCM;UN;REFERÊNCIAS;EST.;APL.;RES.;VENDA;MÉDIO;VENDA;CUSTO;SETOR;RUA;BLOCO;ANDAR
2669;ALT-153310722;153310722-ANEL DE BORRACHA;40169300;UN;ALT-153310722;0;0;0;0,14;0,0725;0;0,18;27B19;;;
4480;159833A1;159833A1-RETENTOR DE BORRACHA;40169300;UN;159833A1;0;0;0;19,82;11,245;0;0;02C14;;;
4475;163324A1;163324A1-ANEL O;27101932;UN;163324A1;0;0;0;3,44;1,95;0;0;100H16;;;
4966;166-573;166-573-PARAFUSO ACO FREIO DO ESTAC;73181500;UN;166-573;0;0;0;2,26;1,27875;0;0;100F03;;;
5640;181128A1;181128A1-ROLAMENTO - TRANSM. CONJ.;84821010;UN;181128A1;0;0;0;13,17;7,46;0;0;06B07;;;
1808;181159A1;181159A1-DISCO ACO INTERMEDIARIO DA;84314929;UN;181159A1;0;0;0;14,32;8,95;0;0;02G21;;;
5460;187472A1;187472A1-ELEMENTO FILTRO DE AR SECUN;84219999;UN;187472A1;0;0;0;21,38;12,123333;0;0;17D01;;;
5382;192823A1;192823A1-TUBO DE ACO DO EIXO TRASEIR;84099999;UN;192823A1;0;0;0;92,51;57,82;0;0;24A01;;;
5383;192824A1;192824A1-TUBO;84099999;UN;192824A1;0;0;0;34,99;21,87;0;0;13H04;;;
2118;1964730C1;1964730C1-ROLAMENTO DE ESFERAS DE ACO;84821010;UN;1964730C1;0;0;0;22,45;12,73;0;5,2;03C12;;;
31890;495-81144;1RRUELA DE ACO 0 406 X 1 75;73182200;PC;495-81144;0;0;0;19,96;11,156667;0;0;;;;
3502;214-14100;214-14100-BRACADEIRA DE ACO CILINDRO;73269090;UN;214-14100;0;0;0;17,65;10,01;0;2,04;11D17;;;
5286;214-21108;214-21108 -BRAÇADEIRA;73269090;UN;214-21108;0;0;0;20,42;11,58;0;4,72;03D05;;;
4783;218-1557;218-1557-CONEXAO;73079900;UN;218-1557;0;0;0;7,36;4,17;0;0,43;30000000000;;;
1184;233795A1;233795A1-PINO EM ACO MEDIO CARBONO S;73182900;UN;233795A1;0;0;0;107,82;61,156;0;31,17;22B17;;;
4380;236842A1;236842A1-JUNTA DE ESPUMA PLASTICA P/;39269090;UN;236842A1;0;0;0;10,1;5,73;0;0,58;06D01;;;
4962;28-630;28-630-PARAFUSO EIXO PROP DT;73181500;UN;28-630;0;0;0;2,16;1,2251;0;12,49;06G29;;;
4444;282962A1;282962A1-MANGUEIRA BOR.VUL.N/END.B.P;40094100;UN;282962A1;0;0;0;77,09;48,18;0;0;21F10;;;
4718;2852012;2852012-JUNTA PAPEL TRATADO;48239099;UN;2852012;0;0;0;50,29;28,52;0;2,91;13A02;;;
5853;2852735;2852735-SENSOR PRESSAO OLEO MOTOR-A;90262090;UN;2852735;1;0;0;19,86;13,56;19,86;13,56;03A10;;;
3073;2852744;2852744-PARAFUSO ACO BAIXO CARB SEM;73181500;UN;2852744;0;0;0;1,46;0,825455;0;0,93;05A03;;;
629;2852978;2852978-GUARNICAO TORO. 2,62X23,47;40169990;UN;2852978;0;0;0;0,88;0,55;0;0;06G09;;;
4462;2853133;2853133-ANEL DE VEDACAO DE BORRACHA;84212990;UN;2853133,522;0;0;0;4,38;2,49;0;0;120000000;;;
5372;2853867;2853867-TOMADA DE AR;84099999;UN;2853867;0;0;0;67,41;38,3;0;0;14H02;;;
5374;2856263;2856263-ESPACADOR ACO BX CARBONO,OU;84099999;UN;2856263;0;0;0;67,82;38,53;0;0;;;;
23889;396-41094;2ASHER REPLACED BY 8761329;73182200;PC;396-41094;0;0;0;195,64;44,25;0;0;;;;
5680;329751A1;329751A1-BUCHA DE ACO MOT.PARTIDA;84833090;UN;329751A1;0;0;0;22,56;14,1;0;0;100C07;;;
94512;94512;421519 - KIT REVISAO LINHA PESADA;84212300;UN;;0;0;0;3958,62;3958,62;0;0;;;;
